"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Alec Peters","Olympiacos",2,57,43,5,8,62.5,10,13,76.92,3,3,100,7,9,2,5,1,0,7,-1,3,3,2,5,0,0,2,2,8,11,0,0
"Dyshawn Pierre","Fenerbahce",2,33,19,7,11,63.64,1,5,20,2,2,100,1,4,3,1,0,1,3,-2,4,4,2,6,1,1,1,2,0,2,0,1
"Dzanan Musa","Real Madrid",2,54,35,8,13,61.54,4,11,36.36,7,10,70,5,3,6,2,2,2,2,9,2,3,6,10,0,0,1,1,3,10,0,0
"Eli Ndiaye","Real Madrid",2,18,8,1,1,100,2,2,100,0,0,NA,0,2,0,0,0,0,3,7,0,0,1,1,0,0,1,1,1,1,0,0
"Fabien Causeur","Real Madrid",2,10,6,1,1,100,1,1,100,1,2,50,0,1,0,1,0,1,1,3,0,0,1,1,0,0,1,1,0,0,0,0
"Facundo Campazzo","Real Madrid",2,52,15,3,6,50,2,6,33.33,3,4,75,3,4,13,4,3,0,7,12,0,1,3,5,0,0,0,0,2,6,0,0
"Filip Petrusev","Olympiacos",2,14,5,0,2,0,1,2,50,2,2,100,0,3,1,1,0,0,2,-9,0,0,0,2,0,0,0,1,1,1,0,0
"Georgios Papagiannis","Fenerbahce",2,10,9,1,2,50,2,3,66.67,1,2,50,0,4,0,0,0,1,1,-11,1,1,0,0,0,1,0,0,2,3,0,0
"Giannoulis Larentzakis","Olympiacos",1,23,10,2,5,40,2,3,66.67,0,0,NA,0,2,1,5,4,0,3,2,1,1,0,3,1,1,1,1,1,2,0,0
"Guerschon Yabusele","Real Madrid",2,43,17,2,2,100,4,9,44.44,1,1,100,1,2,0,2,1,0,6,-13,1,1,1,1,0,0,1,1,3,8,0,0
"Ioannis Papapetrou","Panathinaikos",2,41,13,2,4,50,2,4,50,3,4,75,1,3,2,0,0,0,4,20,1,1,1,1,0,2,1,2,1,2,0,0
"Isaiah Canaan","Olympiacos",2,33,15,0,1,0,4,8,50,3,3,100,0,0,2,3,0,0,4,-22,0,0,0,0,0,1,2,2,2,6,0,0
"Jerian Grant","Panathinaikos",2,60,24,6,12,50,3,4,75,3,5,60,1,7,7,2,3,0,5,37,1,1,2,5,3,6,0,0,3,4,0,0
"Johnathan Motley","Fenerbahce",2,18,7,3,6,50,0,0,NA,1,2,50,2,2,2,2,1,0,2,-13,0,1,3,5,0,0,0,0,0,0,0,0
"Juancho Hernangomez","Panathinaikos",2,27,8,2,2,100,1,5,20,1,2,50,0,5,1,2,2,0,1,9,2,2,0,0,0,0,0,1,1,3,0,1
"Kendrick Nunn","Panathinaikos",2,59,35,8,16,50,5,12,41.67,4,4,100,2,5,6,6,1,0,7,22,2,3,5,11,1,2,1,1,4,11,0,0
"Konstantinos Mitoglou","Panathinaikos",2,44,10,2,4,50,2,4,50,0,0,NA,0,7,0,0,2,1,3,15,1,1,0,1,1,2,0,0,2,4,0,0
"Kostas Antetokounmpo","Panathinaikos",2,10,0,0,1,0,0,0,NA,0,2,0,0,2,0,1,0,1,1,-2,0,1,0,0,0,0,0,0,0,0,0,0
"Kostas Papanikolaou","Olympiacos",2,39,8,2,4,50,1,7,14.29,1,3,33.33,2,4,1,0,0,0,3,3,0,0,1,2,1,2,0,0,1,7,0,0
