"Player","Team","Opponent","ROUND","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Dyshawn Pierre","Fenerbahce","Panathinaikos",42,9,0,0,1,0,0,2,0,0,0,NA,0,0,0,0,0,0,1,-15,0,0,0,1,0,0,0,0,0,1,0,1
"Georgios Papagiannis","Fenerbahce","Panathinaikos",42,4,3,0,0,NA,1,2,50,0,0,NA,0,1,0,0,0,0,1,-4,0,0,0,0,0,0,0,0,1,2,0,0
"Johnathan Motley","Fenerbahce","Panathinaikos",42,3,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,0,0,1,-8,0,0,0,0,0,0,0,0,0,0,0,0
"Marko Guduric","Fenerbahce","Panathinaikos",42,25,10,2,5,40,2,6,33.33,0,0,NA,1,1,2,3,1,0,3,0,1,2,1,3,0,0,0,1,2,5,0,0
"Nathan Sestina","Fenerbahce","Panathinaikos",42,19,10,1,1,100,2,5,40,2,2,100,0,2,0,2,0,0,2,-12,0,0,0,0,1,1,0,0,2,5,0,0
"Nick Calathes","Fenerbahce","Panathinaikos",42,34,5,1,2,50,1,3,33.33,0,0,NA,2,7,4,3,3,0,3,-13,1,1,0,1,0,0,0,0,1,3,0,0
"Nigel Hayes Davis","Fenerbahce","Panathinaikos",42,32,14,3,4,75,2,6,33.33,2,3,66.67,1,3,2,1,1,0,1,-9,2,2,0,1,1,1,0,0,2,6,0,0
"Scottie Wilbekin","Fenerbahce","Panathinaikos",42,24,2,1,5,20,0,5,0,0,0,NA,1,1,2,4,1,0,3,-26,0,0,1,3,0,2,0,1,0,4,0,0
"Sertac Sanli","Fenerbahce","Panathinaikos",42,21,7,1,3,33.33,1,2,50,2,2,100,1,1,1,1,0,0,1,1,0,0,1,1,0,2,0,0,1,2,0,0
"Tarik Biberovic","Fenerbahce","Panathinaikos",42,18,4,1,2,50,0,2,0,2,2,100,0,2,2,1,0,0,4,10,0,0,0,1,1,1,0,0,0,2,0,0
"Tyler Dorsey","Fenerbahce","Panathinaikos",42,10,2,1,1,100,0,2,0,0,0,NA,0,1,1,0,0,0,1,-4,0,0,0,0,1,1,0,1,0,1,0,0
"Ioannis Papapetrou","Panathinaikos","Fenerbahce",42,23,9,2,3,66.67,1,2,50,2,2,100,0,3,2,0,0,0,2,13,1,1,1,1,0,1,1,1,0,1,0,0
"Jerian Grant","Panathinaikos","Fenerbahce",42,27,13,4,6,66.67,1,2,50,2,3,66.67,1,1,2,2,1,0,2,20,0,0,2,3,2,3,0,0,1,2,0,0
"Juancho Hernangomez","Panathinaikos","Fenerbahce",42,7,3,0,0,NA,1,2,50,0,0,NA,0,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,1,2,0,0
"Kendrick Nunn","Panathinaikos","Fenerbahce",42,35,14,2,4,50,3,6,50,1,1,100,1,3,3,4,1,0,3,14,0,0,2,4,0,0,1,1,2,5,0,0
"Konstantinos Mitoglou","Panathinaikos","Fenerbahce",42,26,2,1,1,100,0,2,0,0,0,NA,0,4,0,0,2,1,2,9,1,1,0,0,0,0,0,0,0,2,0,0
"Kostas Antetokounmpo","Panathinaikos","Fenerbahce",42,7,0,0,1,0,0,0,NA,0,2,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Kostas Sloukas","Panathinaikos","Fenerbahce",42,18,4,1,2,50,0,3,0,2,2,100,0,2,3,2,0,0,1,5,0,0,1,2,0,0,0,0,0,3,0,0
