"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Achille Polonara","Virtus Bologna",2,33,11,0,2,0,3,5,60,2,2,100,0,9,2,2,1,3,0,-1,0,1,0,1,0,0,0,0,3,5,0,0
"Alessandro Pajola","Virtus Bologna",2,34,4,0,1,0,1,2,50,1,2,50,2,1,4,4,0,0,5,7,0,0,0,1,0,0,0,0,1,2,0,0
"Ante Zizic","Virtus Bologna",2,24,8,4,7,57.14,0,0,NA,0,1,0,2,2,1,3,0,2,2,7,3,4,1,3,0,0,0,0,0,0,0,0
"Antonius Cleveland","Maccabi Tel Aviv",1,18,11,1,3,33.33,2,3,66.67,3,4,75,1,0,0,0,1,0,2,14,1,2,0,0,0,1,1,1,1,2,0,0
"Awudu Abass","Virtus Bologna",2,45,19,4,4,100,3,11,27.27,2,2,100,1,3,1,0,1,1,3,12,2,2,1,1,1,1,1,3,2,8,0,0
"Bonzie Colson","Maccabi Tel Aviv",1,25,14,4,8,50,2,4,50,0,0,NA,1,2,1,1,3,1,2,20,0,2,3,5,1,1,1,1,1,3,0,0
"Bryant Dunston","Virtus Bologna",2,33,0,0,1,0,0,0,NA,0,0,NA,4,1,3,2,3,2,6,-10,0,0,0,1,0,0,0,0,0,0,0,0
"Chima Moneke","Baskonia",1,9,0,0,1,0,0,1,0,0,0,NA,0,2,0,1,0,0,0,-8,0,1,0,0,0,0,0,0,0,1,0,0
"Chris Chiozza","Baskonia",2,12,0,0,0,NA,0,2,0,0,0,NA,0,0,2,0,0,2,3,-6,0,0,0,0,0,0,0,0,0,2,0,0
"Codi Miller McIntyre","Baskonia",2,66,40,15,21,71.43,2,6,33.33,4,6,66.67,3,12,15,9,3,1,3,-4,9,9,3,7,3,5,0,0,2,6,0,0
"Daniel Diez","Baskonia",2,10,0,0,0,NA,0,1,0,0,0,NA,0,1,0,0,0,0,0,-8,0,0,0,0,0,0,0,1,0,0,0,0
"Daniel Hackett","Virtus Bologna",2,49,15,2,8,25,3,4,75,2,2,100,4,4,2,1,2,1,7,-29,0,1,2,5,0,2,0,1,3,3,0,0
"Daniel Oturu","Efes",1,10,2,1,4,25,0,0,NA,0,2,0,1,1,0,2,0,0,0,-4,1,2,0,2,0,0,0,0,0,0,0,0
"Darius Thompson","Efes",1,13,0,0,2,0,0,0,NA,0,0,NA,1,0,1,0,0,0,1,-5,0,0,0,1,0,1,0,0,0,0,0,0
"Derek Willis","Efes",1,12,0,0,3,0,0,0,NA,0,0,NA,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"Elijah Bryant","Efes",1,15,5,1,5,20,1,4,25,0,0,NA,0,5,0,0,1,1,2,-4,1,2,0,3,0,0,1,2,0,2,0,0
"Ercan Osmani","Efes",1,11,6,3,3,100,0,0,NA,0,0,NA,0,3,1,3,0,1,4,2,2,2,1,1,0,0,0,0,0,0,0,0
"Iffe Lundberg","Virtus Bologna",2,51,22,8,12,66.67,2,9,22.22,0,3,0,1,8,9,3,3,0,4,16,2,2,4,6,2,4,0,0,2,8,0,1
"Isaia Cordinier","Virtus Bologna",2,31,12,6,9,66.67,0,3,0,0,0,NA,0,5,5,2,0,2,3,-19,1,1,4,6,1,2,0,0,0,3,0,0
"Jake Cohen","Maccabi Tel Aviv",1,14,3,0,0,NA,1,2,50,0,0,NA,0,1,2,0,1,0,3,8,0,0,0,0,0,0,0,0,1,2,0,0
"James Webb","Maccabi Tel Aviv",1,20,8,3,4,75,0,5,0,2,2,100,3,3,1,0,1,1,2,7,2,3,1,1,0,0,0,1,0,4,0,0
"Jasiel Rivero","Maccabi Tel Aviv",1,15,8,3,3,100,0,0,NA,2,3,66.67,4,2,2,0,0,0,1,8,1,1,2,2,0,0,0,0,0,0,0,0
"Joe Thomasson","Maccabi Tel Aviv",1,2,0,0,1,0,0,2,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
