"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Alberto Abalde","Real Madrid",1,13,7,2,4,50,1,1,100,0,0,NA,0,0,0,0,0,0,0,-5,0,0,2,3,0,1,0,0,1,1,0,0
"Alec Peters","Olympiacos Piraeus",5,103,39,11,20,55,5,10,50,2,3,66.67,4,14,9,8,0,0,7,-21,7,9,2,5,2,6,0,2,5,8,0,0
"Aleksander Balcerowski","Panathinaikos AKTOR Athens",1,6,0,0,0,NA,0,0,NA,0,0,NA,1,2,0,2,0,0,1,-3,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Abrines","FC Barcelona",5,98,42,5,7,71.43,10,23,43.48,2,3,66.67,2,8,5,5,2,1,10,-13,2,2,1,3,2,2,2,3,8,20,0,0
"Alpha Diallo","AS Monaco",5,136,58,21,31,67.74,1,9,11.11,13,15,86.67,6,17,5,6,4,3,15,-15,5,5,12,18,4,8,0,0,1,9,0,0
"Amine Noua","Fenerbahce Beko Istanbul",2,11,0,0,0,NA,0,1,0,0,0,NA,0,2,1,0,0,1,3,-4,0,0,0,0,0,0,0,0,0,1,0,0
"Antonius Cleveland","Maccabi Playtika Tel Aviv",5,90,29,9,13,69.23,2,12,16.67,5,5,100,5,6,2,3,5,3,13,-7,7,7,2,6,0,0,1,5,1,7,0,0
"Bonzie Colson","Maccabi Playtika Tel Aviv",5,160,55,10,25,40,8,24,33.33,11,15,73.33,3,18,2,2,3,3,12,-26,0,2,7,17,3,6,3,6,5,18,0,0
"Chris Chiozza","Baskonia Vitoria-Gasteiz",3,27,13,1,2,50,3,7,42.86,2,2,100,1,5,4,2,0,0,2,-4,0,0,1,1,0,1,0,0,3,7,0,0
"Codi Miller McIntyre","Baskonia Vitoria-Gasteiz",3,98,44,14,23,60.87,4,9,44.44,4,9,44.44,4,13,24,10,4,0,6,-22,6,6,6,14,2,3,0,0,4,9,0,0
"Daniel Diez","Baskonia Vitoria-Gasteiz",3,42,3,0,0,NA,1,7,14.29,0,0,NA,1,5,3,1,0,0,3,5,0,0,0,0,0,0,0,0,1,7,0,0
