"Team","Team_Tag","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"ALBA","BER",34,1360,2944,738,1277,57.79,348,892,39.01,424,562,75.44,374,831,674,452,286,120,625,353,319,413,322,633,97,231,55,134,293,749,0,9
"ASVEL","ASV",34,1370,2888,688,1231,55.89,358,943,37.96,438,565,77.52,354,814,641,393,243,112,661,214,295,384,290,602,103,245,58,128,299,807,1,8
"Barcelona","FCB",34,1360,2692,709,1335,53.11,290,843,34.4,404,537,75.23,369,768,573,416,227,67,650,-120,262,333,353,745,94,257,43,101,247,735,0,4
"Baskonia","BAS",34,1365,2885,715,1332,53.68,339,911,37.21,438,550,79.64,357,832,653,366,230,110,661,21,274,329,344,755,97,248,40,73,299,833,0,5
"Bayern","BAY",34,1385,2790,690,1282,53.82,304,840,36.19,498,625,79.68,307,810,538,371,226,84,642,116,225,291,344,708,121,283,39,98,265,734,0,8
"Crvena Zvezda","CZB",34,1360,2816,648,1204,53.82,343,877,39.11,491,638,76.96,354,799,644,415,220,93,681,52,239,311,297,627,112,266,55,116,287,755,1,6
"Efes","EFE",34,1385,2912,717,1268,56.55,339,872,38.88,461,587,78.53,349,815,650,415,185,68,640,-16,321,396,298,655,98,217,57,123,282,738,0,11
"Fenerbahce","FEN",34,1380,2751,740,1366,54.17,255,733,34.79,506,646,78.33,353,765,553,410,202,57,682,-143,301,385,321,688,118,293,44,94,211,631,0,8
"Maccabi Tel Aviv","MTA",34,1365,2948,731,1265,57.79,338,935,36.15,472,622,75.88,375,799,658,461,225,75,676,-35,293,374,348,660,90,231,35,97,303,822,0,16
"Monaco","ASM",34,1365,2688,623,1147,54.32,337,907,37.16,431,560,76.96,354,811,598,459,178,80,742,-95,169,221,370,688,84,238,36,78,300,825,1,3
"Olimpia Milan","MIL",34,1370,2655,655,1215,53.91,300,810,37.04,445,567,78.48,314,808,562,429,214,59,660,-4,299,402,274,563,82,250,45,93,255,712,0,4
"Olympiacos","OLY",34,1375,2551,620,1183,52.41,305,839,36.35,396,485,81.65,329,767,569,430,213,83,674,-134,275,363,237,550,108,270,51,126,254,706,0,7
"Panathinaikos","PAN",34,1375,2622,716,1323,54.12,273,800,34.12,371,482,76.97,365,775,575,459,241,85,743,-152,375,518,263,599,78,206,43,115,229,674,0,10
"Partizan","PAR",34,1375,2837,677,1168,57.96,320,897,35.67,523,655,79.85,359,736,620,425,226,54,703,15,330,406,271,577,76,185,52,129,268,757,0,11
"Real Madrid","RMB",34,1390,2743,746,1471,50.71,286,858,33.33,393,496,79.23,403,782,545,395,213,58,699,-256,246,322,423,914,77,235,14,44,272,810,0,4
"Valencia","VAL",34,1365,2690,638,1166,54.72,307,906,33.89,493,647,76.2,337,822,611,436,248,106,659,108,337,477,222,490,78,198,54,115,253,781,0,7
"Virtus Bologna","VIR",34,1360,2804,708,1283,55.18,287,778,36.89,527,692,76.16,337,835,550,412,214,72,685,76,270,340,352,735,86,208,32,62,255,712,0,4
"Zalgiris","ZAL",34,1365,2704,677,1247,54.29,276,769,35.89,522,664,78.61,345,769,570,425,218,98,628,2,317,419,246,546,114,282,48,124,228,641,0,4
