"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Achille Polonara","Virtus Bologna",19,230,55,12,26,46.15,10,24,41.67,1,3,33.33,18,29,23,9,9,7,27,4,4,6,8,20,0,0,1,3,9,21,0,0
"Adam Hanga","Crvena Zvezda",26,522,207,42,89,47.19,33,99,33.33,24,45,53.33,14,62,62,34,25,8,51,-37,11,14,28,65,3,10,4,5,29,93,0,1
"Alberto Abalde","Real Madrid",22,295,79,9,18,50,18,45,40,7,8,87.5,6,39,16,5,10,1,25,45,2,3,5,12,2,3,0,1,18,44,0,0
"Alec Peters","Olympiacos",33,858,442,96,163,58.9,61,119,51.26,67,76,88.16,38,122,51,40,17,4,76,111,45,56,30,55,21,52,14,22,47,97,0,0
"Aleksa Avramovic","Partizan",24,450,245,68,101,67.33,26,88,29.55,31,40,77.5,8,34,44,32,17,4,43,46,33,42,33,53,2,6,0,5,26,80,0,3
"Aleksander Balcerowski","Panathinaikos",23,174,68,22,35,62.86,1,9,11.11,21,30,70,13,16,7,6,6,10,36,-12,15,19,7,14,0,2,0,0,1,9,0,0
"Alen Smailagic","Partizan",31,491,172,52,81,64.2,12,26,46.15,32,44,72.73,32,36,18,21,18,12,69,-63,35,42,12,29,5,10,1,1,11,25,0,0
"Alessandro Pajola","Virtus Bologna",32,547,127,16,34,47.06,24,69,34.78,23,31,74.19,13,46,99,33,26,4,86,-7,1,2,14,27,1,5,1,4,23,63,0,2
"Alex Abrines","Barcelona",22,368,145,15,25,60,33,73,45.21,16,18,88.89,14,30,8,13,11,7,47,52,4,5,8,15,3,5,2,6,31,66,0,1
"Alex Poythress","Olimpia Milan",30,387,158,66,107,61.68,1,5,20,23,29,79.31,35,45,4,29,10,11,74,7,51,63,14,38,1,6,1,2,0,2,0,1
"Alexandros Samodurov","Panathinaikos",1,1,3,0,1,0,1,1,100,0,0,NA,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,1,1,0,0
"Alpha Diallo","Monaco",33,889,346,88,175,50.29,36,86,41.86,62,85,72.94,40,98,60,40,39,11,86,65,31,46,50,102,7,27,0,5,36,81,0,0
"Amine Noua","Fenerbahce",10,165,50,14,21,66.67,6,15,40,4,5,80,14,18,5,2,2,8,22,33,5,6,8,14,1,1,2,3,4,12,0,0
"Andreas Obst","Bayern",22,413,166,7,16,43.75,47,115,40.87,11,14,78.57,5,28,15,10,4,0,25,-27,2,3,2,8,3,5,5,9,42,104,0,2
"Ante Zizic","Efes",28,405,136,58,89,65.17,0,0,NA,20,34,58.82,30,47,17,17,9,10,37,1,27,34,30,53,1,2,0,0,0,0,0,0
"Antonius Cleveland","Maccabi Tel Aviv",32,444,171,50,92,54.35,12,44,27.27,35,52,67.31,32,24,26,16,31,16,83,-14,29,35,20,48,1,7,4,18,8,24,0,0
"Arnas Butkevicius","Zalgiris",22,458,109,24,39,61.54,14,36,38.89,19,27,70.37,17,56,20,21,13,2,55,-20,15,21,8,15,1,3,2,8,12,28,0,0
"Austin Hollins","Zalgiris",8,97,31,3,6,50,7,20,35,4,5,80,1,7,1,9,3,0,16,-57,0,0,2,4,1,2,2,7,5,12,0,1
"Awudu Abass","Virtus Bologna",29,352,117,21,39,53.85,22,68,32.35,9,11,81.82,17,31,12,6,11,2,30,-98,14,18,6,15,1,6,5,11,17,57,0,0
"Balsa Koprivica","Partizan",14,116,46,20,24,83.33,0,0,NA,6,6,100,9,15,4,9,3,8,25,-19,16,17,4,7,0,0,0,0,0,0,0,0
"Billy Baron","Olimpia Milan",3,47,7,3,6,50,0,5,0,1,1,100,0,7,9,6,4,0,5,-5,1,1,2,4,0,1,0,1,0,4,0,0
"Bonzie Colson","Maccabi Tel Aviv",34,954,435,115,201,57.21,45,114,39.47,70,87,80.46,54,134,19,22,44,11,73,32,36,46,58,102,21,53,16,28,29,85,0,1
"Boris Dallo","ASVEL",3,14,0,0,1,0,0,2,0,0,0,NA,1,0,2,4,0,0,4,-5,0,0,0,0,0,1,0,1,0,1,0,0
"Boubacar Toure","Valencia",21,287,83,35,62,56.45,0,0,NA,13,24,54.17,32,55,4,19,7,12,40,-35,30,42,5,20,0,0,0,0,0,0,0,0
"Brady Manek","Zalgiris",28,528,211,26,56,46.43,48,118,40.68,15,19,78.95,14,82,17,24,16,2,45,37,9,12,12,31,5,13,7,18,41,99,0,1
"Brandon Davies","Valencia",28,626,338,114,211,54.03,15,49,30.61,65,81,80.25,32,75,56,55,23,17,76,-10,49,71,39,77,26,63,0,1,15,48,0,0
"Branko Lazic","Crvena Zvezda",22,304,60,8,21,38.1,11,38,28.95,11,12,91.67,14,18,8,7,8,1,57,-35,2,2,4,14,2,5,5,14,6,24,0,0
"Bruno Caboclo","Partizan",27,522,254,70,100,70,23,46,50,45,62,72.58,38,71,5,34,16,18,73,6,45,57,24,39,1,4,3,4,20,42,0,0
"Bruno Mascolo","Virtus Bologna",2,10,2,1,4,25,0,0,NA,0,0,NA,1,0,0,0,0,0,2,8,0,0,0,2,1,2,0,0,0,0,0,0
