"Team","Team_Tag","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"ALBA","BER",34,1360,2591,641,1261,50.83,302,860,35.12,403,509,79.17,368,735,560,513,238,73,623,-353,290,408,252,597,99,256,46,98,256,755,0,4
"ASVEL","ASV",34,1370,2674,744,1389,53.56,244,723,33.75,454,587,77.34,350,805,605,440,205,55,626,-214,320,453,306,663,118,273,51,115,192,601,1,7
"Barcelona","FCB",34,1360,2812,759,1352,56.14,292,798,36.59,418,571,73.2,384,840,659,433,210,83,666,120,250,320,401,786,108,246,37,84,255,708,0,5
"Baskonia","BAS",34,1365,2864,664,1197,55.47,353,963,36.66,477,626,76.2,351,847,640,423,185,79,621,-21,266,325,317,664,81,208,37,70,316,882,0,10
"Bayern","BAY",34,1385,2674,649,1215,53.42,336,938,35.82,368,461,79.83,364,840,547,443,206,89,702,-116,222,294,293,608,134,313,49,125,287,802,0,11
"Crvena Zvezda","CZB",34,1360,2764,680,1239,54.88,314,920,34.13,462,600,77,403,777,629,411,224,84,733,-52,257,329,382,775,41,135,48,120,266,794,0,5
"Efes","EFE",34,1385,2928,735,1309,56.15,339,911,37.21,441,542,81.37,345,754,610,351,237,105,629,16,320,410,328,673,87,226,65,139,273,770,1,2
"Fenerbahce","FEN",34,1380,2894,649,1151,56.39,382,976,39.14,450,560,80.36,344,790,616,408,196,82,734,143,280,352,284,588,85,211,60,134,321,832,0,9
"Maccabi Tel Aviv","MTA",34,1365,2983,781,1464,53.35,295,810,36.42,536,687,78.02,443,782,666,418,249,106,684,35,286,364,376,806,119,294,46,113,248,685,1,11
"Monaco","ASM",34,1365,2785,743,1403,52.96,269,763,35.26,492,664,74.1,383,782,547,340,236,61,662,97,219,288,389,774,134,340,10,33,259,726,0,3
"Olimpia Milan","MIL",34,1370,2659,615,1116,55.11,341,930,36.67,406,523,77.63,302,791,554,423,238,72,665,4,296,376,221,478,98,262,40,100,301,821,0,9
"Olympiacos","OLY",34,1375,2685,641,1152,55.64,320,857,37.34,443,596,74.33,320,777,657,386,238,96,636,134,339,429,237,547,65,176,68,152,252,698,0,7
"Panathinaikos","PAN",34,1375,2774,676,1240,54.52,305,801,38.08,507,673,75.33,337,803,562,433,244,92,598,152,316,417,258,581,102,242,57,117,248,678,0,6
"Partizan","PAR",34,1375,2822,750,1282,58.5,273,755,36.16,503,614,81.92,310,741,514,423,223,79,716,-15,312,383,308,602,130,297,37,92,236,656,0,7
"Real Madrid","RMB",34,1390,2999,711,1240,57.34,343,918,37.36,548,666,82.28,335,916,696,422,215,119,641,256,270,326,378,765,63,149,35,68,308,842,0,8
"Valencia","VAL",34,1365,2582,686,1309,52.41,247,754,32.76,469,606,77.39,345,823,550,463,220,62,719,-106,353,495,229,543,104,271,45,121,202,626,0,7
"Virtus Bologna","VIR",34,1360,2728,666,1227,54.28,319,882,36.17,439,580,75.69,320,782,640,411,224,85,736,-76,248,307,343,671,75,249,31,66,288,806,0,10
"Zalgiris","ZAL",34,1365,2702,646,1217,53.08,331,851,38.9,417,515,80.97,331,753,532,428,221,59,720,-2,303,408,273,614,70,195,39,103,292,740,0,8
