RNK;NAME;ROLE;NAT;HEIGHT;AGE;TM NAME;GP;W;L;W%;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;USG%;PPP;OFF RTG (ON);DEF RTG (ON);NET RTG (ON);IND OFF RTG;IND DEF RTG;IND NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);PF 100 Poss;DF 100 Poss;PER;OFF WIN SHARE;DEF WIN SHARE;WIN SHARE;WIN Share per 40;OBPM;DBPM;BPM;VORP;TM PACE (ON);TM OFF RTG (ON);TM DEF RTG (ON);TM NET RTG (ON);TM TS% (ON);TM OR% (ON);TM TO% (ON);TM FT Ratio (ON);OPP TS% (ON);OPP OR% (ON);OPP TO% (ON);OPP FT Ratio (ON);TM PACE (OFF);TM OFF RTG (OFF);TM DEF RTG (OFF);TM NET RTG (OFF);TM TS% (OFF);TM OR% (OFF);TM TO% (OFF);TM FT Ratio (OFF);OPP TS% (OFF);OPP OR% (OFF);OPP TO% (OFF);OPP FT Ratio (OFF);TM PACE (NET);TM OFF RTG (NET);TM DEF RTG (NET);TM NET RTG (NET);TM TS% (NET);TM OR% (NET);TM TO% (NET);TM FT Ratio (NET);OPP TS% (NET);OPP OR% (NET);OPP TO% (NET);OPP FT Ratio (NET)
140;Tarik Biberovic;F;TUR;201;23;Fenerbahce Beko Istanbul;1;0;1;0;18;4;1;2;0,5;0;2;0;1;4;0,25;2;2;1;0;2;2;2;1;0;0;0;4;2;2;10;6;0,171428571;0,666666667;130;93,5483871;36,4516129;114,0880771;87,24541395;26,84266318;0,25;0,4;0;-;0,166666667;0;0,166666667;2;0;-;0,333333333;0;0,166666667;0,166666667;0,166666667;0;0,133333333;0;0,4;0;0,25;2;0;0;0;0;0,142857143;0,142857143;0,166666667;0;0,071428571;0;0;0;0;12,90322581;6,666666667;13,60642892;0,59035673;0,77694247;1,367299201;0,10851581;0,081492284;-0,729967324;-0,648475041;0,468943191;65,04065041;130;93,5483871;36,4516129;0,629032258;0,357142857;0,114285714;0,085714286;0,5;0,357142857;0,24137931;0,137931034;72,38979118;46,15384615;115,7894737;-69,63562753;0,28125;0,166666667;0,255813953;0,023255814;0,709677419;0,214285714;0,208333333;0,125;-7,349140777;83,84615385;-22,24108659;106,0872404;0,347782258;0,19047619;-0,141528239;0,062458472;-0,209677419;0,142857143;0,033045977;0,012931034
141;Nick Calathes;PG;GRE;198;35;Fenerbahce Beko Istanbul;2;0;2;0;31,5;4;1;2,5;0,4;0,5;2,5;0,2;1,5;5;0,3;0,5;0,5;1;2,5;4;6,5;4;2,5;1,5;0;0;2;1,5;9,5;-5,5;7,5;0,12195122;0,533333333;96,33027523;103,5714286;-7,241153342;95,60796266;94,838271;0,769691654;0,35;0,4;0,066666667;2;0,266666667;0,5;0;-;0;-;0,333333333;0,6;0;0,333333333;0,266666667;0,066666667;0,19047619;0,217391304;0,142857143;0,2;0,347826087;1,6;0,086206897;0,047619048;0,117647059;0;0,186046512;0,15;0,277777778;0;0,128712871;0,026785714;0;0;0;3,571428571;2,752293578;14,169541;1,614662958;1,815522835;3,430185793;0,151946215;0,557678053;1,42474128;1,982419333;2,10359696;69,66711052;96,33027523;103,5714286;-7,241153342;0,51980198;0,24137931;0,178861789;0,040650407;0,610526316;0,348837209;0,34375;0,15625;73,49282297;112,5;141,9354839;-29,43548387;0,529411765;0,333333333;0,105263158;0,184210526;0,6875;0,352941176;0,072463768;0,028985507;-3,825712447;-16,16972477;-38,3640553;22,19433053;-0,009609785;-0,091954023;0,073598631;-0,14356012;-0,076973684;-0,004103967;0,271286232;0,127264493
142;Tyler Dorsey;SG;USA;196;28;Fenerbahce Beko Istanbul;2;0;2;0;11,5;3,5;0,5;1;0,5;0,5;2,5;0,2;1;3,5;0,285714286;1;2;0,5;0;1;1;0,5;0,5;0,5;0;0,5;1;1,5;1,5;-9;5;0,2;0,7;100;140,4761905;-40,47619048;77,36354364;127,5023526;-50,13880899;0,357142857;0,388888889;0,1;0;0;-;0,1;2;0,1;0;0,4;0,75;0,2;0,1;0;0,1;0,0625;0;0,25;0;0,090909091;1;0;0;0;0;0,111111111;0,142857143;0;0;0,05;0,023809524;0;0;0;4,761904762;7,317073171;14,62924495;0,962632396;0,681100188;1,643732584;0,098279975;0,4200374;-1,862598562;-1,442561162;0,22363595;71,0982659;100;140,4761905;-40,47619048;0,5;0,409090909;0,18;0,12;0,7375;0,388888889;0,214285714;0,119047619;70,25761124;100;100;0;0,531914894;0,203703704;0,153153153;0,054054054;0,58045977;0,333333333;0,235772358;0,097560976;0,840654655;0;40,47619048;-40,47619048;-0,031914894;0,205387205;0,026846847;0,065945946;0,15704023;0,055555556;-0,021486643;0,021486643
143;Marko Guduric;SG;SRB;196;29;Fenerbahce Beko Istanbul;2;0;2;0;20;8;2,5;4,5;0,555555556;1;3,5;0,285714286;3,5;8;0,4375;0;0;-;0,5;1;1,5;1,5;2;1;0;0,5;3;0,5;2,5;-1,5;10;0,238095238;0,8;102,8571429;111,9402985;-9,08315565;98,41341348;102,855262;-4,44184854;0,5;0,5;0,2;1;0,25;1,2;0;-;0,05;0;0,3;1;-;0,2;0,15;0,05;0,12;0,1;0,25;0;0,130434783;0,75;0,025;0;0,047619048;0;0,064516129;0,0625;0,111111111;0;0,042253521;0,029850746;0;0;0;8,955223881;1,428571429;14,64171656;1,52517041;1,614748164;3,139918574;0,158182296;1,119346464;-0,105772321;1,013574142;1,434896777;69,88352745;102,8571429;111,9402985;-9,08315565;0,514285714;0,35;0,166666667;0,095238095;0,63559322;0,322580645;0,305084746;0,152542373;71,11853088;97,18309859;111,8421053;-14,65900667;0,530769231;0,166666667;0,155844156;0,051948052;0,625;0,379310345;0,188679245;0,075471698;-1,235003431;5,674044266;0,098193244;5,575851021;-0,016483516;0,183333333;0,010822511;0,043290043;0,01059322;-0,0567297;0,1164055;0,077070675
144;Nigel Hayes Davis;F;USA;203;30;Fenerbahce Beko Istanbul;2;0;2;0;28,5;8,5;1,5;3,5;0,428571429;1,5;4;0,375;3;7,5;0,4;1;1,5;0,666666667;1;2;3;2,5;0,5;1,5;0;0,5;2;4;11,5;-2;8,5;0,157407407;1;104,1237113;106,0606061;-1,93689472;108,3579728;97,81272544;10,54524736;0,5;0,53125;0,117647059;2;0,235294118;0;0,058823529;2;0;-;0,470588235;1,125;0,058823529;0,058823529;0;0,058823529;0,142857143;0,157894737;0,153846154;0;0,227272727;5;0,040816327;0,055555556;0,034482759;0;0,095238095;0,117647059;0,052631579;0,2;0,065934066;0,03030303;0;0;0;4,04040404;8,24742268;16,58701052;1,120941425;1,884607819;3,005549244;0,103194824;1,916789044;0,722958937;2,639747982;3,424516145;69,12114014;104,1237113;106,0606061;-1,93689472;0,554945055;0,224489796;0,157407407;0,046296296;0,603448276;0,333333333;0,310344828;0,137931034;73,74301676;90,90909091;125;-34,09090909;0,454545455;0,333333333;0,169811321;0,132075472;0,6875;0,388888889;0,141025641;0,064102564;-4,621876617;13,21462043;-18,93939394;32,15401437;0,1003996;-0,108843537;-0,012403913;-0,085779175;-0,084051724;-0,055555556;0,169319187;0,07382847
145;Sehmus Hazer;SG;TUR;193;25;Fenerbahce Beko Istanbul;1;0;1;0;4;0;0;0;-;0;0;-;0;0;-;0;2;0;0;0;0;0;0;0;0;0;0;1;-1;-7;1;0,142857143;0;66,66666667;157,1428571;-90,47619048;0;122,8533333;-122,8533333;-;0;0;-;0;-;0;-;0;-;0;-;1;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;16,66666667;-3,7898734;-0,087219643;0,007730494;-0,079489149;-0,096350483;-7,500204341;-0,749994259;-8,2501986;-0,61457258;64,86486486;66,66666667;157,1428571;-90,47619048;0,285714286;0,2;0;0,285714286;0,5;0,666666667;0;0,076923077;72,72727273;121,2121212;113,4328358;7,779285391;0,615384615;0,303030303;0,144736842;0,078947368;0,678571429;0,346153846;0,28;0,08;-7,862407862;-54,54545455;43,71002132;-98,25547587;-0,32967033;-0,103030303;-0,144736842;0,206766917;-0,178571429;0,320512821;-0,28;-0,003076923
146;Yam Madar;PG;ISR;190;24;Fenerbahce Beko Istanbul;1;0;1;0;7;0;0;0;-;0;0;-;0;0;-;0;0;-;0;0;0;2;0;0;1;0;0;1;4;-6;0;-;-;107,1428571;161,5384615;-54,3956044;200;140,4756264;59,52437364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,25;0,5;0;0;-;2;0;0;0;0;0;0;-;0;0;0;0,066666667;0,090909091;0;0;7,142857143;12,16855524;0,533292667;0,701749487;1,235042154;0,12167903;-0,017419825;-0,456639354;-0,47405918;0,362402781;80,19093079;107,1428571;161,5384615;-54,3956044;0,46875;0,444444444;0,111111111;0,277777778;0,65625;0,555555556;0,111111111;0,055555556;69,57315681;99,21259843;106,9230769;-7,710478498;0,529411765;0,23880597;0,167832168;0,048951049;0,626126126;0,31372549;0,244897959;0,108843537;10,61777397;7,930258718;54,61538462;-46,6851259;-0,060661765;0,205638474;-0,056721057;0,228826729;0,030123874;0,241830065;-0,133786848;-0,053287982
150;Johnathan Motley;C;USA;206;29;Fenerbahce Beko Istanbul;2;0;2;0;9;3,5;1,5;3;0,5;0;0;-;1,5;3;0,5;0,5;1;0,5;1;1;2;1;1;0,5;0;0;1;0,5;3,5;-6,5;4,5;0,214285714;0,777777778;108,8235294;147,0588235;-38,23529412;82,3900065;135,8570729;-53,46706637;0,5;0,5;0,111111111;0;0,555555556;1,2;0;-;0;-;0;-;0,111111111;0,222222222;0,222222222;0;0,153846154;0;0,2;0,5;0,181818182;1;0,117647059;0,25;0;0;0,166666667;0,2;0;0;0,137931034;0,029411765;0;0;0;5,882352941;2,941176471;19,503622;0,848068458;0,999656582;1,84772504;0,109494817;-0,490450863;-0,747249993;-1,237700855;0,336040599;73,11827957;108,8235294;147,0588235;-38,23529412;0,578125;0,470588235;0,238095238;0,095238095;0,833333333;0,416666667;0,3;0,066666667;69,70684039;97,19626168;100,9174312;-3,72116951;0,504854369;0,203389831;0,134453782;0,067226891;0,567010309;0,333333333;0,214814815;0,111111111;3,411439179;11,62726773;46,14139234;-34,51412461;0,073270631;0,267198405;0,103641457;0,028011204;0,266323024;0,083333333;0,085185185;-0,044444444
152;Georgios Papagiannis;C;GRE;217;27;Fenerbahce Beko Istanbul;2;0;2;0;5;4,5;0,5;1;0,5;1;1,5;0,666666667;1,5;2,5;0,6;0,5;1;0,5;0;2;2;0;0;0;0,5;0;0,5;0,5;5,5;-5,5;3;0,315789474;1,5;82,35294118;131,5789474;-49,22600619;116,0835377;102,3614067;13,722131;0,8;0,75;0,166666667;2;0;-;0,166666667;0;0;-;0,5;2;0,166666667;0;0;0;0;-;0;0;0;0;0;0;0;0;0,444444444;0,285714286;-;0,5;0,181818182;0;0,058823529;0,071428571;0;5,263157895;5,882352941;16,7103614;0,701405207;1,168044665;1,869449872;0,123396031;0,796701012;2,523710587;3,320411599;1,983360039;66,77577741;82,35294118;131,5789474;-49,22600619;0,388888889;0,153846154;0,052631579;0,157894737;0,625;0,444444444;0,130434783;0,130434783;71,0432084;102,4193548;108,8709677;-6,451612903;0,542735043;0,285714286;0,176056338;0,063380282;0,630841121;0,333333333;0,246478873;0,098591549;-4,267430989;-20,06641366;22,70797963;-42,77439329;-0,153846154;-0,131868132;-0,123424759;0,094514455;-0,005841121;0,111111111;-0,116044091;0,031843233
153;Dyshawn Pierre;F/PF;CAN;198;31;Fenerbahce Beko Istanbul;2;0;2;0;16,5;9,5;3,5;5,5;0,636363636;0,5;2,5;0,2;4;8;0,5;1;1;1;0,5;2;2,5;1,5;0,5;0;0,5;0;1,5;1,5;9,5;-1;9;0,276923077;1,055555556;103,2786885;104,8387097;-1,560021153;110,4064649;102,6263887;7,780076131;0,53125;0,558823529;0,222222222;2;0,333333333;0,666666667;0,055555556;2;0,111111111;1,5;0,111111111;0;0,055555556;0,055555556;0,055555556;0;0,1875;0,25;0,181818182;0;0,142857143;3;0,033333333;0;0,058823529;0;0,173913043;0,090909091;0,2;0;0,094339623;0;0,022222222;0,04;0;4,838709677;4,918032787;13,66443073;0,562495425;0,937623317;1,500118742;0,112368445;0,753576414;1,339071254;2,092647668;1,877318836;72,98105683;103,2786885;104,8387097;-1,560021153;0,572727273;0,133333333;0,153846154;0,030769231;0,65;0,260869565;0,37254902;0,098039216;68,71868289;97,5;117,2839506;-19,78395062;0,4875;0,347826087;0,166666667;0,104166667;0,616883117;0,405405405;0,166666667;0,105263158;4,262373938;5,778688525;-12,44524094;18,22392946;0,085227273;-0,214492754;-0,012820513;-0,073397436;0,033116883;-0,14453584;0,205882353;-0,007223942
