TM TAG;NAME;ROLE;NAT;HEIGHT;AGE;ROUND;TM NAME;OPP NAME;DATE;H/A;W/L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;ASTED_2FG;ASTED_3FG;ASTED_FT;ASTED_FT PTS;AST (2P);AST (3P);AST (FT);AST PTS (FT);LTO;DTO;BLK2;BLK3;OR_RIM;OR_PAINT;OR_NP2;OR_3C;OR_3L;OR_FT;DR_RIM;DR_PAINT;DR_NP2;DR_3C;DR_3L;DR_FT;FTM_T;FTA_T;FTM_1;FTA_1;FTM_2;FTA_2;FT 0/2;FTM_3;FTA_3;FT 0/3;RIM_M;RIM_A;PAINT_M;PAINT_A;MID_M;MID_A;3C_M;3C_A;3L_M;3L_A;3H_M;3H_A
CZB;Adam Hanga;F;HUN;201;35;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;22;7;1;6;0,166666667;1;5;0,2;2;11;0,181818182;2;2;1;1;3;4;3;1;2;1;0;1;3;9;5;13;0;0;0;0;1;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;2;0;0;0;0;0;0;1;5;0;1;0;0;1;5;0;0
CZB;Branko Lazic;SG;SRB;195;35;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;13;6;0;0;-;2;2;1;2;2;1;0;0;-;1;1;2;0;0;0;0;0;0;0;8;7;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
CZB;Dalibor Ilic;F;BIH;206;24;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;15;5;1;5;0,2;1;2;0,5;2;7;0,285714286;0;0;-;5;0;5;0;0;0;0;2;1;1;3;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;1;1;0;1;0;0
CZB;Luka Mitrovic;PF;SRB;206;31;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;22;9;3;3;1;0;0;-;3;3;1;3;4;0,75;1;0;1;2;0;1;0;0;2;4;14;20;5;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0
CZB;Marko Simonovic;PF;SRB;203;38;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;18;14;4;4;1;2;2;1;6;6;1;0;0;-;1;0;1;0;1;0;0;0;5;1;10;5;7;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;0;0;2;2;0;0
CZB;Mike Tobey;C;USA;213;30;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;13;0;0;1;0;0;3;0;0;4;0;0;0;-;2;3;5;0;2;1;0;0;1;0;-1;5;6;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0
CZB;Milos Teodosic;PG;SRB;195;37;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;15;3;0;3;0;1;3;0,333333333;1;6;0,166666667;0;0;-;0;3;3;2;1;1;0;0;4;0;-1;7;7;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;3;0;0
CZB;Nemanja Nedovic;SG;SRB;191;33;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;17;12;3;6;0,5;1;2;0,5;4;8;0,5;3;3;1;0;3;3;3;2;1;0;0;1;3;15;4;11;1;0;1;2;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;2;2;0;0;0;0;1;2;2;4;0;0;0;0;1;2;0;0
CZB;Ognjen Kuzmic;C;SRB;214;34;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;12;0;0;2;0;0;0;-;0;2;0;0;0;-;3;1;4;4;0;0;1;1;1;0;5;12;2;0;0;0;0;0;3;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
CZB;Rokas Giedraitis;F/PF;LTU;200;32;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;28;17;2;4;0,5;4;7;0,571428571;6;11;0,545454545;1;2;0,5;1;4;5;4;0;2;0;0;3;1;20;21;12;1;4;1;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0;0;1;2;0;0;0;0;0;0;1;3;1;1;0;0;4;7;0;0
CZB;Shabazz Napier;PG;USA;185;33;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;21;21;2;3;0,666666667;5;8;0,625;7;11;0,636363636;2;2;1;0;3;3;1;2;2;0;0;2;1;20;19;14;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;2;3;0;0;0;0;5;8;0;0
CZB;Stefan Lazarevic;SG;SRB;200;28;1;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;5;0;0;0;-;0;0;-;0;0;-;0;0;-;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV;Boris Dallo;PG;FRA;193;30;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;0;0;0;0;-;0;0;-;0;0;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV;Edwin Jackson;SG;FRA;190;35;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;0;0;0;0;-;0;0;-;0;0;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV;Frank Jackson;PG;USA;190;26;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;16;2;1;1;1;0;3;0;1;4;0,25;0;0;-;0;4;4;0;1;1;0;0;3;1;1;-1;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0
ASV;Joffrey Lauvergne;C;FRA;211;33;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;23;18;5;7;0,714285714;2;5;0,4;7;12;0,583333333;2;5;0,4;4;2;6;1;1;0;0;0;1;4;19;-16;15;2;2;1;2;0;1;0;0;1;0;0;0;1;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;2;4;0;0;0;0;1;1;3;4;1;2;0;0;2;5;0;0
ASV;John Egbunu;C;NIG;208;30;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;25;7;3;6;0,5;0;0;-;3;6;0,5;1;2;0,5;1;0;1;0;2;0;1;1;2;2;2;-14;9;3;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0
ASV;Mbaye Ndiaye;C;SEN;204;25;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;12;0;0;1;0;0;1;0;0;2;0;0;0;-;1;3;4;1;1;0;1;0;2;0;1;-2;3;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
ASV;Mike Scott;PF;USA;203;36;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;22;13;3;3;1;2;5;0,4;5;8;0,625;1;3;0,333333333;1;1;2;1;0;0;0;0;0;1;12;-7;9;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;1;1;1;1;1;0;1;2;4;0;0
ASV;Nando De Colo;SG;FRA;196;37;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;26;13;1;2;0,5;3;5;0,6;4;7;0,571428571;2;3;0,666666667;0;2;2;5;2;0;0;0;0;2;16;-23;10;0;2;0;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;1;0;0;1;1;1;1;2;4;0;0
ASV;Noam Yaacov;SG;DEN;186;20;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;6;0;0;1;0;0;0;-;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;5;3;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ASV;Paris Lee;PG;USA;183;29;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;30;7;2;3;0,666666667;1;3;0,333333333;3;6;0,5;0;0;-;1;2;3;9;4;2;0;0;1;1;14;-16;10;0;1;0;0;4;3;2;3;4;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;1;3;0;0
ASV;Timothe Luwawu Cabarrot;SG;FRA;198;29;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;30;13;2;5;0,4;1;3;0,333333333;3;8;0,375;6;6;1;1;0;1;0;2;2;0;1;3;4;9;-20;12;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;3;3;0;0;0;1;3;1;2;1;1;0;2;0;0
ASV;Youssoupha Fall;C;SEN;221;29;1;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;10;0;0;0;-;0;0;-;0;0;-;0;0;-;0;3;3;0;1;0;1;0;2;1;2;-5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MTA;Bonzie Colson;F/PF;USA;198;28;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;22;12;5;8;0,625;0;4;0;5;12;0,416666667;2;4;0,5;3;4;7;0;2;2;1;0;1;2;12;19;16;3;0;1;2;0;0;0;0;1;1;0;0;0;2;0;1;0;0;0;1;0;1;1;1;0;0;0;0;2;4;0;0;0;0;3;3;2;4;0;1;0;1;0;3;0;0
MTA;Jake Cohen;C;ISR;210;34;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;15;2;1;1;1;0;1;0;1;2;0,5;0;0;-;0;1;1;3;0;0;0;0;3;0;2;15;2;1;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
MTA;James Webb;F/PF;USA;206;31;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;16;3;1;2;0,5;0;2;0;1;4;0,25;1;2;0,5;0;0;0;0;0;0;0;1;2;1;-3;0;5;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0
MTA;Jasiel Rivero;C;CUB;206;31;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;14;11;4;5;0,8;0;0;-;4;5;0,8;3;4;0,75;1;0;1;2;2;0;0;0;1;5;14;-7;9;3;0;2;2;1;0;1;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;1;1;2;3;1;1;0;0;0;0;0;0
MTA;John Dibartolomeo;SG;ISR;183;33;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;23;6;0;1;0;2;3;0,666666667;2;4;0,5;0;0;-;2;3;5;2;1;1;0;0;3;2;10;17;5;0;1;0;0;1;0;1;2;1;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;2;0;0
MTA;Josh Nebo;C;USA;206;27;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;15;14;5;6;0,833333333;0;0;-;5;6;0,833333333;4;5;0,8;2;2;4;3;0;1;1;1;0;3;23;11;8;5;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;1;3;4;0;0;0;0;1;1;4;5;0;0;0;0;0;0;0;0
MTA;Lorenzo Brown;PG;USA;196;34;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;25;22;5;7;0,714285714;4;5;0,8;9;12;0,75;0;0;-;0;1;1;8;3;2;0;0;2;0;25;15;15;2;3;0;0;7;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;4;1;1;0;0;4;5;0;0
MTA;Rafael Menco;F;ISR;198;30;1;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;7;0;0;2;0;0;0;-;0;2;0;0;0;-;0;0;0;1;0;0;0;0;0;0;-1;-9;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
