TM NAME;GP;W;L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;PACE;POSS;SHOOTING CHANCES;OFF PPP;DEF PPP;OFF RTG;DEF RTG;NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);KILLS;PSF FREQ;DSF FREQ
ALBA Berlin;34;5;29;200;76,20588235;18,85294118;37,08823529;0,508326725;8,882352941;25,29411765;0,351162791;27,73529412;62,38235294;0,444601603;11,85294118;14,97058824;0,791748527;10,82352941;21,61764706;32,44117647;16,47058824;15,08823529;7;2,147058824;3,5;18,32352941;18,17647059;77,76470588;-10,38235294;72,91176471;72,91176471;83,91176471;0,908166842;1,028292001;104,5179508;118,4231698;-13,90521896;0,515794437;0,553632479;0,143007361;1,421568627;0,209253417;0,844221106;0,089730109;0,7734375;0,034349807;1,408163265;0,264633719;1,017218543;0,076761304;0,180189673;0,100105374;0,080084299;0,487380331;0,44149766;0,761589404;0,22815534;0,196698279;1,091617934;0,306922435;0,336633663;0,28358209;0,16;0,662759243;0,640301318;0,667326733;0,8;0,477902946;0,095736122;0,033656063;0,046985121;0,003363229;4,088235294;0,478330658;0,438511327
Anadolu Efes Istanbul;34;17;17;203,6764706;86,11764706;21,61764706;38,5;0,561497326;9,970588235;26,79411765;0,372118551;31,58823529;65,29411765;0,483783784;12,97058824;15,94117647;0,813653137;10,14705882;22,17647059;32,32352941;17,94117647;10,32352941;6,970588235;3,088235294;2;18,5;18,47058824;97,41176471;0,470588235;70,67148014;71,97058824;82,18627451;1,047834904;1,036298932;119,6567225;118,4221228;1,234599703;0,560135135;0,599181446;0,146725516;1,56097561;0,240844566;0,97473997;0,080877967;0,769911504;0,049743529;1,402877698;0,275557676;1,063636364;0,079923655;0,125716332;0,066260745;0,059455587;0,474216118;0,424489796;0,761061947;0,188383046;0,218481375;1,737891738;0,297413793;0,354316547;0,23853211;0,155555556;0,683590209;0,672862454;0,691382766;0,745454545;0,485638533;0,096380643;0,049065421;0,050473186;0,006880734;4,235294118;0,486486486;0,462314225
AS Monaco;34;23;11;201,0294118;81,91176471;21,85294118;41,26470588;0,529579473;7,911764706;22,44117647;0,352555701;29,76470588;63,70588235;0,467220683;14,47058824;19,52941176;0,740963855;11,26470588;23;34,26470588;16,08823529;10;6,941176471;1,794117647;2,352941176;19,47058824;21,67647059;91,85294118;2,852941176;70,22677396;70,58823529;82,08823529;0,997850233;0,976389393;116,0416667;112,0934112;3,948255491;0,529316713;0,568135455;0,103188821;1,520833333;0,277319957;1,005167959;0,121820136;0,788235294;0,011823719;0,909090909;0,26012182;1,070247934;0,102113938;0,12217032;0,063959756;0,058210564;0,429245283;0,449528937;0,639405204;0,153846154;0,196550485;1,608823529;0,320770519;0,34;0,314533623;0,181818182;0,688380282;0,678294574;0,684881603;0,847457627;0,5;0,098415346;0,02969815;0,045335658;0,004410143;5,264705882;0,441087613;0,466757123
Baskonia Vitoria-Gasteiz;34;18;16;200,7352941;84,23529412;19,52941176;35,20588235;0,554720134;10,38235294;28,32352941;0,366562825;29,91176471;63,52941176;0,470833333;14,02941176;18,41176471;0,761980831;10,32352941;24,91176471;35,23529412;18,82352941;12,44117647;5,441176471;2,323529412;3,235294118;18,26470588;19,14705882;93,26470588;-0,617647059;72,82051282;73,08823529;83,48529412;1,008983618;1,016202888;115,2515091;116,3775716;-1,126062547;0,552546296;0,592837922;0,114497094;1,636923077;0,23392637;0,954819277;0,07327814;0,778846154;0,024660912;1,585714286;0,310727497;1,074829932;0,09001233;0,149153738;0,081100141;0,068053597;0,506930693;0,46686747;0,750708215;0,264765784;0,225669958;1,513002364;0,296954315;0,325714286;0,282793867;0,169491525;0,703488372;0,705298013;0,684881603;0,872340426;0,502095557;0,074626866;0,035220687;0,04954955;0,007683864;4,852941176;0,481481481;0,493855607
Crvena Zvezda Meridianbet Belgrade;34;11;23;200;81,29411765;20;36,44117647;0,548829701;9,235294118;27,05882353;0,341304348;29,23529412;63,5;0,460398333;13,58823529;17,64705882;0,77;11,85294118;22,85294118;34,70588235;18,5;12,08823529;6,588235294;2,470588235;2,735294118;21,55882353;19,88235294;88,73529412;-1,529411765;71,32352941;71,32352941;83,35294118;0,975299929;1,016361886;113,9793814;116,5562914;-2,576909947;0,533117184;0,570367313;0,116090332;1,56231003;0,273465067;0,985806452;0,04763585;0,607407407;0,042342978;1,2;0,280169372;1,005037783;0,093154552;0,14533239;0,077793494;0,067538897;0,506451613;0,519117647;0,671974522;0,260162602;0,22241867;1,530413625;0,335274542;0,38;0,312607945;0,191176471;0,687002653;0,659926471;0,705426357;0,796875;0,505786541;0,092715232;0,040365209;0,029069767;0,003420753;3,941176471;0,447021373;0,471893491
EA7 Emporio Armani Milan;34;15;19;201,4705882;78,20588235;18,08823529;32,82352941;0,551075269;10,02941176;27,35294118;0,366666667;28,11764706;60,17647059;0,467253177;11,94117647;15,38235294;0,776290631;8,882352941;23,26470588;32,14705882;16,29411765;12,44117647;7;2,117647059;1,735294118;19,55882353;18,97058824;85,5;0,117647059;69,57664234;70,08823529;79,14705882;0,98810851;0,983333333;111,5820394;111,4609572;0,121082267;0,55058651;0,586199295;0,139725009;1,574468085;0,177629134;0,924686192;0,097361576;0,748091603;0,037160907;1,2;0,305091044;1,099878197;0,082497213;0,157541899;0,079702048;0,077839851;0,475945017;0,422764228;0,73313783;0,211538462;0,206331471;1,309692671;0,272072072;0,285714286;0,257657658;0,290909091;0,715837104;0,715063521;0,700205339;0,846153846;0,493453725;0,099916037;0,035555556;0,051028807;0,003703704;4,705882353;0,457142857;0,421705426
FC Barcelona;34;22;12;200;82,70588235;22,32352941;39,76470588;0,561390533;8,588235294;23,47058824;0,365914787;30,91176471;63,23529412;0,488837209;12,29411765;16,79411765;0,732049037;11,29411765;24,70588235;36;19,38235294;12,73529412;6,176470588;2,441176471;1,941176471;19,58823529;18,88235294;94,5;3,529411765;71,85294118;71,85294118;83,20588235;0,993990809;0,958348167;115,1043799;110,5998357;4,504544199;0,556744186;0,586811352;0,113114175;1,5625;0,277836691;1,020356234;0,086956522;0,87804878;0,029692471;1,321428571;0,250265111;1,080508475;0,086956522;0,1531659;0,080297135;0,072868765;0,514509804;0,479578393;0,767123288;0,303571429;0,233109303;1,521939954;0,333333333;0,351724138;0,33808554;0,146666667;0,694789082;0,663398693;0,707456979;0,857142857;0,518424396;0,086277732;0,038108356;0,051685393;0,008303677;4,735294118;0,421921922;0,478193146
FC Bayern Munich;34;13;21;203,6764706;78,64705882;19,08823529;35,73529412;0,534156379;9,882352941;27,58823529;0,358208955;28,97058824;63,32352941;0,457501161;10,82352941;13,55882353;0,798264642;10,70588235;24,70588235;35,41176471;16,08823529;13,02941176;6,058823529;2,617647059;2,470588235;20,64705882;18,79411765;84,38235294;-3,411764706;70,00722022;71,29411765;82,13235294;0,957564906;1,012520414;110,3135314;114,3442623;-4,030730942;0,535531816;0,569057246;0,105282005;1,510204082;0,217726052;0,963815789;0,112085944;0,856230032;0,044762757;1,176;0,287197851;1,073566085;0,070367055;0,158895265;0,081061693;0,077833572;0,465671642;0,397534669;0,729166667;0,229333333;0,196197991;1,23476298;0,310051107;0,327370304;0,308098592;0,142857143;0,732345248;0,690189329;0,775793651;0,849056604;0,518741922;0,08442623;0,041941565;0,065522621;0,002380952;4,764705882;0,476495726;0,39827856
Fenerbahce Beko Istanbul;34;20;14;202,9411765;85,11764706;19,08823529;33,85294118;0,563857515;11,23529412;28,70588235;0,391393443;30,32352941;62,55882353;0,484720263;13,23529412;16,47058824;0,803571429;10,11764706;23,23529412;33,35294118;18,11764706;12;5,764705882;2,411764706;1,676470588;21,58823529;19,82352941;93,85294118;4,205882353;70,43478261;71,47058824;81,67647059;1,042131797;0,988146552;119,0946502;113,3965375;5,698112695;0,574518101;0,610806247;0,126755492;1,590909091;0,211739287;0,965986395;0,075981275;0,805687204;0,048253511;1,343283582;0,299603889;1,157451923;0,0871444;0,147080029;0,072819034;0,074260995;0,488132911;0,468412943;0,717277487;0,167381974;0,222062004;1,509803922;0,31018936;0,290983607;0,330357143;0,162790698;0,691163605;0,682042834;0,702031603;0,808823529;0,503552398;0,080791426;0,039066222;0,035871157;0,004092769;4,176470588;0,467302452;0,446587537
LDLC ASVEL Villeurbanne;34;9;25;201,4705882;78,64705882;21,88235294;40,85294118;0,535637149;7,176470588;21,26470588;0,337482711;29,05882353;62,11764706;0,46780303;13,35294118;17,26470588;0,773424191;10,29411765;23,67647059;33,97058824;17,79411765;12,94117647;6,029411765;1,617647059;3,294117647;18,41176471;19,35294118;85,79411765;-6,294117647;71,38686131;71,91176471;82,30882353;0,955511881;1,031612788;109,3660532;118,215309;-8,849255877;0,525568182;0,566885732;0,161872432;1,412803532;0,236912632;0,923076923;0,09755226;0,864468864;0,041093443;1,330434783;0,214757906;0,958402662;0,088082902;0,157423971;0,086583184;0,070840787;0,49691485;0,489247312;0,770491803;0,228571429;0,216457961;1,375;0,300687285;0,330173776;0,28540305;0,092307692;0,69456428;0,694183865;0,679078014;0,862068966;0,497201894;0,083913221;0,025298988;0,037367994;0,003181336;4,617647059;0,486421725;0,468844985
