ROUND;TM TAG;OPP TAG;TM NAME;OPP NAME;DATE;H/A;W/L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;SHOOTING CHANCES;OFF PPP;DEF PPP;OFF RTG;DEF RTG;NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);KILLS;PSF FREQ;DSF FREQ;ASTED_2FG;ASTED_3FG;ASTED_FT;ASTED_FT PTS;LTO;DTO;BLK2;BLK3;OR_RIM;TM OR_RIM;OR_PAINT;TM OR_PAINT;OR_NP2;TM OR_NP2;OR_3C;TM OR_3C;OR_3L;TM OR_3L;OR_FT;TM OR_FT;DR_RIM;TM DR_RIM;DR_PAINT;TM DR_PAINT;DR_NP2;TM DR_NP2;DR_3C;TM DR_3C;DR_3L;TM DR_3L;DR_FT;TM DR_FT;FTM_T;FTA_T;FTM_1;FTA_1;FTM_2;FTA_2;FT 0/2;FTM_3;FTA_3;FT 0/3;RIM_M;RIM_A;PAINT_M;PAINT_A;MID_M;MID_A;3C_M;3C_A;3L_M;3L_A;3H_M;3H_A
1;CZB;ASV;Crvena Zvezda Meridianbet Belgrade;LDLC ASVEL Villeurbanne;05.10.2023;H;W;200;94;16;37;0,43;17;34;0,5;33;71;0,46;11;13;0,85;17;23;40;19;10;10;2;3;21;14;105;21;70;87;1,08;0,94;134,3;105,8;28,5;0,58;0,61;0,07;1,33;0,3;0,77;0,06;0,8;0,01;3;0,38;1,45;0,07;0,11;0,06;0,06;0,46;0,38;0,59;0,33;0,22;1,9;0,44;0,52;0,31;0,5;0,72;0,64;0,75;1;0,56;0,14;0,04;0;0;4;0,43;0,5;6;10;2;2;5;5;0;0;2;0;7;0;1;1;0;0;4;1;1;0;0;0;5;0;1;1;2;0;10;0;4;0;0;0;1;1;10;12;0;0;0;0;4;6;10;26;2;5;1;1;16;33;0;0
1;ASV;CZB;LDLC ASVEL Villeurbanne;Crvena Zvezda Meridianbet Belgrade;05.10.2023;A;L;200;73;17;29;0,59;9;25;0,36;26;54;0,48;12;21;0,57;9;22;31;17;16;5;3;2;14;21;81;-21;69;78;0,94;1,08;105,8;134,3;-28,5;0,56;0,59;0,1;1,75;0,19;0,8;0,08;1,33;0,05;1,5;0,27;1;0,1;0,21;0,13;0,08;0,52;0,41;0,78;0,43;0,22;1,06;0,28;0,36;0,25;0;0,56;0,48;0,69;0,5;0,44;0,07;0,04;0;0;3;1;0;7;7;3;3;10;6;0;0;1;0;3;0;0;0;0;0;4;0;0;0;0;0;6;3;1;0;0;0;10;1;1;0;0;0;1;1;5;10;1;6;9;0;7;8;6;15;4;6;2;4;7;21;0;0
1;MTA;PAR;Maccabi Playtika Tel Aviv;Partizan Mozzart Bet Belgrade;05.10.2023;H;W;200;96;27;43;0,63;9;26;0,35;36;69;0,52;15;20;0,75;15;19;34;31;12;11;2;2;19;18;121;15;75;90;1,07;1,01;128;111;17;0,59;0,62;0,11;1,8;0,31;1,07;0,06;1,2;0,04;0;0,24;1,23;0,1;0,13;0,08;0,06;0,69;0,74;0,56;0,67;0,34;2,58;0,44;0,4;0,53;0;0,73;0,69;0,75;1;0,57;0,15;0,04;0;0;5;1;1;20;5;6;10;7;5;0;0;0;0;3;3;0;0;1;0;6;2;0;0;0;0;6;1;2;0;1;0;8;0;1;0;0;0;2;2;13;18;0;0;0;0;9;10;15;28;3;5;0;4;9;22;0;0
1;PAR;MTA;Partizan Mozzart Bet Belgrade;Maccabi Playtika Tel Aviv;05.10.2023;A;L;200;81;26;39;0,67;5;17;0,29;31;56;0,55;14;18;0,78;7;19;26;18;16;7;2;2;18;19;88;-15;73;80;1,01;1,07;111;128;-17;0,6;0,63;0,09;1,71;0,34;1,33;0,06;0,8;0,03;0;0,19;1;0,1;0,2;0,14;0,06;0,47;0,42;0,8;0,43;0,23;1,13;0,27;0,31;0,25;0;0,56;0,6;0,47;1;0,43;0,09;0,03;0;0;4;1;1;11;4;3;6;11;5;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;1;6;0;2;0;3;0;4;1;2;0;0;0;2;2;12;16;1;0;0;0;6;7;18;27;2;5;0;2;5;15;0;0
1;EFE;FCB;Anadolu Efes Istanbul;FC Barcelona;05.10.2023;A;L;200;74;22;40;0,55;9;27;0,33;31;67;0,46;3;6;0,5;9;16;25;24;10;9;1;3;15;15;81;-17;70;79;0,94;1,14;105,7;128,2;-22,5;0,53;0,54;0,06;1,6;0,37;1,1;0,08;0,67;0,08;1,5;0,27;0,86;0,03;0,13;0,06;0,06;0,73;0,68;0,89;0,5;0,3;2,4;0,26;0,39;0,12;-;0,64;0,5;0,69;1;0,42;0,13;0,02;0,02;0;1;0;0;15;8;1;1;5;5;1;0;0;0;5;1;1;0;0;0;0;2;0;0;0;0;5;0;0;0;0;0;8;1;2;0;0;0;1;1;1;2;0;1;3;0;4;5;16;29;2;6;3;6;6;21;0;0
1;FCB;EFE;FC Barcelona;Anadolu Efes Istanbul;05.10.2023;H;W;200;91;32;42;0,76;6;20;0,3;38;62;0,61;9;12;0,75;9;26;35;21;13;5;3;1;15;15;114;17;71;80;1,14;0,94;128,2;105,7;22,5;0,66;0,68;0,14;1,82;0,35;1,43;0,04;1,33;0,03;3;0,23;0,67;0,06;0,16;0,11;0,05;0,49;0,53;0,67;0;0,26;1,62;0,36;0,5;0,31;0;0,74;0,61;0,88;-;0,58;0,07;0,04;0,08;0;5;0;0;17;4;0;0;9;4;3;0;1;0;3;0;1;0;0;0;4;0;0;0;1;0;6;1;3;0;3;0;11;1;0;0;0;0;1;2;8;10;0;0;0;0;10;11;20;28;2;3;2;2;4;18;0;0
1;BER;BAY;ALBA Berlin;FC Bayern Munich;05.10.2023;A;L;200;68;16;30;0,53;7;24;0,29;23;54;0,43;15;19;0,79;3;14;17;14;9;10;3;3;17;21;69;-12;68;71;0,96;0,91;100;117,6;-17,6;0,49;0,55;0,04;0,67;0,27;1,26;0,11;0,75;0,03;0;0,31;0,95;0,11;0,13;0,07;0,06;0,47;0,5;0,71;0,14;0,2;1,56;0,09;0;0,18;0;0,41;0,54;0,3;-;0,26;0,15;0,04;0,08;0;5;0;0;8;5;1;2;5;4;3;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;4;0;2;0;2;0;4;0;0;0;0;0;2;2;10;14;1;3;3;0;1;3;12;19;3;8;0;2;7;22;0;0
1;BAY;BER;FC Bayern Munich;ALBA Berlin;05.10.2023;H;W;200;80;23;36;0,64;9;31;0,29;32;67;0,48;7;10;0,7;20;29;49;12;16;5;3;3;21;17;88;12;68;88;0,91;0,96;117,6;100;17,6;0,54;0,56;0,13;1,64;0,19;1,06;0,09;1,25;0,06;0;0,3;1,04;0,06;0,18;0,11;0,07;0,33;0,22;0,67;0,25;0,14;0,75;0,59;0,46;0,7;-;0,91;1;0,82;1;0,74;0,07;0,06;0,1;0;7;0;0;5;6;1;2;10;6;3;0;1;0;3;1;1;0;2;1;9;2;0;0;2;0;7;0;5;0;2;0;9;3;1;0;0;0;0;0;7;10;1;0;0;0;9;11;9;17;5;8;0;5;9;26;0;0
1;VIR;ZAL;Virtus Segafredo Bologna;Zalgiris Kaunas;05.10.2023;H;L;200;79;23;39;0,59;8;25;0,32;31;64;0,48;9;11;0,82;10;22;32;21;14;8;1;3;18;19;90;-3;72;82;0,96;1,04;109,7;115,5;-5,8;0,55;0,58;0,12;1,6;0,27;1,18;0,09;0,57;0;-;0,29;1;0,05;0,17;0,07;0,1;0,6;0,52;1;0,25;0,26;1,5;0,31;0,2;0,4;0,5;0,73;0,71;0,86;0,5;0,52;0,11;0,02;0,03;0;6;1;0;12;8;1;0;6;8;1;0;0;0;1;0;2;0;0;0;5;1;1;0;2;0;9;1;3;0;0;0;5;1;1;0;1;1;2;2;6;8;0;0;0;0;8;10;13;22;2;7;0;0;8;24;0;1
1;ZAL;VIR;Zalgiris Kaunas;Virtus Segafredo Bologna;05.10.2023;A;W;200;82;18;39;0,46;11;19;0,58;29;58;0,5;13;18;0,72;8;22;30;11;15;6;3;1;19;17;80;3;71;79;1,04;0,96;115,5;109,7;5,8;0,59;0,64;0,13;1;0,3;0,92;0,06;0,8;0;-;0,24;1,74;0,08;0,19;0,1;0,09;0,32;0,28;0,55;0;0,14;0,73;0,27;0,29;0,14;0,5;0,69;0,8;0,6;0,5;0,48;0,08;0,05;0,05;0,04;5;0;1;5;6;0;0;8;7;2;1;3;0;2;1;0;0;0;0;1;0;1;0;2;0;8;0;1;1;0;0;9;0;1;0;1;1;4;4;6;10;1;2;3;0;5;10;11;24;2;5;0;0;11;19;0;0
